Beer,Brewery,City,State,Style,Size,ABV,IBUs,Rating,Style Rating,Number of ratings,Weighted Avg,Estimated Calories
The Citizen,DC Brau Brewing Company,"Washington, DC",DC,Belgian Pale Ale,12 oz.,7.00%,N/A,60,70,146,3.19,210
The Corruption,DC Brau Brewing Company,"Washington, DC",DC,American IPA,12 oz.,6.50%,80,94,92,281,3.57,195
The Public,DC Brau Brewing Company,"Washington, DC",DC,American Pale Ale (APA),12 oz.,6.00%,N/A,90,92,242,3.46,180
Dallas Blonde,Deep Ellum Brewing Company,Dallas,TX,American Blonde Ale,12 oz.,5.20%,23,50,85,57,3.12,156
Deep Ellum IPA,Deep Ellum Brewing Company,Dallas,TX,American IPA,12 oz.,7.00%,70,97,96,149,3.64,210
Rye Pils Session Lager,Deep Ellum Brewing Company,Dallas,TX,German Pilsener,12 oz.,4.60%,38,83,98,74,3.36,138
Mother Ale,Denali Brewing Company,Talkeetna,AK,American Blonde Ale,12 oz.,5.60%,46,45,69,13,3.04,165
Single Engine Red,Denali Brewing Company,Talkeetna,AK,Irish Red Ale,12 oz.,5.60%,46,49,70,27,3.1,168
Twister Creek India Pale Ale,Denali Brewing Company,Talkeetna,AK,American IPA,12 oz.,6.50%,71,88,76,36,3.43,201
Abbey's Single,Destihl Brewery,"Bloomington, IL",IL,Belgian Pale Ale,12 oz.,4.90%,22,70,81,86,3.26,147
Counter ClockWeisse,Destihl Brewery,"Bloomington, IL",IL,Berliner Weisse,12 oz.,3.00%,4,94,87,47,3.56,90
Flanders Red,Destihl Brewery,"Bloomington, IL",IL,Sour Red / Brown,12 oz.,6.10%,15,86,44,85,3.4,183
Here Gose Nothin',Destihl Brewery,"Bloomington, IL",IL,Gose,12 oz.,5.00%,12,94,95,103,3.57,150
Hoperation Overload,Destihl Brewery,"Bloomington, IL",IL,American Double / Imperial IPA,12 oz.,9.60%,85,85,41,124,3.39,288
Lynnbrook Raspberry Berliner Weisse,Destihl Brewery,"Bloomington, IL",IL,Berliner Weisse,12 oz.,3.00%,4,95,89,25,3.58,90
Vertex IPA,Destihl Brewery,"Bloomington, IL",IL,American IPA,12 oz.,6.30%,76,90,81,67,3.46,189
California Sunshine IPA,Devil's Canyon Brewery,Belmont,CA,American IPA,16 oz.,7.10%,85,75,47,79,3.29,213
Full Boar Scotch Ale,Devil's Canyon Brewery,Belmont,CA,Scotch Ale / Wee Heavy,16 oz.,7.40%,12,84,66,105,3.37,222
Dock Street Amber Beer (1992),Dock Street Brewery,Philadelphia,PA,American Amber / Red Ale,12 oz.,5.00%,N/A,48,69,107,3.09,150
Original Blend,Downeast Cider House,Waterville,ME,Cider,12 oz.,5.10%,N/A,49,78,24,3.12,153
Union Street IPA,Doylestown Brewing Company,Doylestown,PA,American IPA,12 oz.,6.70%,N/A,43,12,10,2.99,201
Apricot Blonde,Dry Dock Brewing Company,Aurora,CO,Fruit / Vegetable Beer,12 oz.,5.10%,17,82,95,79,3.36,159
Dry Dock Amber Ale,Dry Dock Brewing Company,Aurora,CO,American Amber / Red Ale,12 oz.,5.80%,49,32,36,35,2.87,N/A
Dry Dock Hefeweizen,Dry Dock Brewing Company,Aurora,CO,Hefeweizen,12 oz.,4.30%,12,84,98,75,3.37,129
Hop Abomination,Dry Dock Brewing Company,Aurora,CO,American IPA,12 oz.,6.60%,100,76,48,77,3.29,198
Dundee Summer Wheat Beer,Dundee Brewing Company,Rochester,NY,American Pale Wheat Ale,12 oz.,4.50%,18,11,7,286,2.39,126
Boater Beer,Eddyline Brewery & Restaurant,Buena Vista,CO,German Pilsener,16 oz.,4.50%,N/A,14,27,20,2.47,135
Crank Yanker IPA,Eddyline Brewery & Restaurant,Buena Vista,CO,American IPA,16 oz.,7.80%,74,52,29,44,3.14,225
Mountain Fairy Raspberry Wheat,Eddyline Brewery & Restaurant,Buena Vista,CO,Fruit / Vegetable Beer,16 oz.,5.50%,N/A,19,45,13,2.67,150
Pumpkin Patch,Eddyline Brewery & Restaurant,Buena Vista,CO,Pumpkin Ale,16 oz.,5.00%,N/A,63,77,17,3.2,165
River Runners Pale Ale,Eddyline Brewery & Restaurant,Buena Vista,CO,American Pale Ale (APA),16 oz.,6.00%,N/A,41,27,12,2.99,N/A
Big E Scotch Ale,Ellersick Brewing Company (Big E...,Lynnwood,WA,Scotch Ale / Wee Heavy,16 oz.,7.20%,N/A,64,38,21,3.21,216
Hoppy Redhead,Ellersick Brewing Company (Big E...,Lynnwood,WA,Extra Special / Strong Bitter (ESB),16 oz.,6.50%,45,72,90,24,3.26,195
Dottie Seattle Lager,Emerald City Beer Company,Seattle,WA,American Amber / Red Lager,16 oz.,4.90%,25,39,83,24,2.93,147
Nut Sack Imperial Brown Ale,Engine 15 Brewing,Jacksonville Beach,FL,American Brown Ale,12 oz.,7.00%,N/A,83,92,38,3.36,210
Bikini Beer,Evil Twin Brewing,Brooklyn,NY,American Pale Ale (APA),12 oz.,2.70%,N/A,84,100,356,3.37,81
Citra Sunshine Slacker,Evil Twin Brewing,Brooklyn,NY,American IPA,16 oz.,4.50%,N/A,81,63,10,3.34,135
Falco,Evil Twin Brewing,Brooklyn,NY,American IPA,16 oz.,7.00%,N/A,96,94,456,3.61,210
Hipster Ale,Evil Twin Brewing,Brooklyn,NY,American Pale Ale (APA),12 oz.,5.50%,N/A,92,94,424,3.5,165
Molotov Lite,Evil Twin Brewing,Brooklyn,NY,American Double / Imperial IPA,16 oz.,8.50%,90,95,72,169,3.58,255
Nomader Weisse,Evil Twin Brewing,Brooklyn,NY,Berliner Weisse,12 oz.,4.00%,N/A,90,75,174,3.47,120
Fearless Scottish Ale,Fearless Brewing Company,Estacada,OR,Scottish Ale,16 oz.,5.00%,N/A,57,72,54,3.17,150
Loki Red Ale,Fearless Brewing Company,Estacada,OR,American Amber / Red Ale,16 oz.,7.50%,N/A,69,30,23,3.25,225
Mjolnir Imperial IPA,Fearless Brewing Company,Estacada,OR,American Double / Imperial IPA,16 oz.,6.90%,N/A,47,6,44,3.08,207
Second Fiddle,Fiddlehead Brewing,Shelburne,VT,American Double / Imperial IPA,16 oz.,8.20%,100,99,98,70,3.9,246
Mastermind,Fiddlehead Brewing,Shelburne,VT,American Double / Imperial IPA,16 oz.,8.10%,N/A,98,91,44,3.71,243
Cut Throat Pale Ale,Finch's Beer Company,Chicago,IL,American Pale Ale (APA),16 oz.,5.50%,N/A,70,60,207,3.25,165
Cut Throat Pale Ale (2011),Finch's Beer Company,Chicago,IL,American Pale Ale (APA),16 oz.,5.50%,N/A,70,60,207,3.25,165
Fascist Pig Ale,Finch's Beer Company,Chicago,IL,American Amber / Red Ale,16 oz.,8.00%,72,83,44,159,3.36,240
Golden Wing Blonde Ale,Finch's Beer Company,Chicago,IL,American Blonde Ale,16 oz.,4.70%,N/A,47,77,99,3.07,150
Secret Stache Stout,Finch's Beer Company,Chicago,IL,American Stout,16 oz.,5.30%,N/A,98,99,272,3.75,159
Threadless IPA,Finch's Beer Company,Chicago,IL,American IPA,16 oz.,7.50%,90,90,80,258,3.46,180
Inclined Plane Ale,Flat Rock Brewing Company,Smithton,PA,American IPA,12 oz.,4.20%,N/A,30,13,14,2.85,N/A
Snake Dog IPA,Flying Dog Brewery,Frederick,MD,American IPA,12 oz.,7.10%,60,91,85,1644,3.49,213
Underdog Atlantic Lager,Flying Dog Brewery,Frederick,MD,American Pale Lager,12 oz.,4.70%,28,47,92,576,3.08,141
Backyahd,Foolproof Brewing Company,Pawtucket,RI,American IPA,12 oz.,6.00%,N/A,61,36,46,3.19,180
Barstool,Foolproof Brewing Company,Pawtucket,RI,American Blonde Ale,12 oz.,4.50%,N/A,27,32,27,2.81,135
Raincloud Porter,Foolproof Brewing Company,Pawtucket,RI,American Porter,12 oz.,6.50%,N/A,85,78,44,3.38,195
1811 Lager,Fort George Brewery,Astoria,OR,American Amber / Red Lager,16 oz.,5.10%,N/A,79,97,61,3.32,153
Cavatica Stout,Fort George Brewery,Astoria,OR,American Double / Imperial Stout,16 oz.,8.80%,N/A,92,41,119,3.51,255
Quick Wit Belgianesque Ale,Fort George Brewery,Astoria,OR,Witbier,16 oz.,5.20%,N/A,53,74,62,3.14,165
Sunrise Oatmeal Pale Ale,Fort George Brewery,Astoria,OR,American Pale Ale (APA),16 oz.,5.50%,N/A,81,80,94,3.34,144
Tender Loving Empire NWPA,Fort George Brewery,Astoria,OR,American Pale Ale (APA),16 oz.,5.80%,N/A,66,53,17,3.22,174
Vortex IPA,Fort George Brewery,Astoria,OR,American IPA,16 oz.,7.40%,97,96,94,190,3.61,231
All Day IPA,Founders Brewing Company,Grand Rapids,MI,American IPA,12 oz.,4.70%,42,95,98,1573,3.61,141
Hop Knot IPA,Four Peaks Brewing Company,Tempe,AZ,American IPA,12 oz.,6.70%,47,97,96,276,3.65,201
Kilt Lifter Scottish-Style Ale,Four Peaks Brewing Company,Tempe,AZ,Scottish Ale,12 oz.,6.00%,N/A,49,55,413,3.12,180
Sunbru Kolsch,Four Peaks Brewing Company,Tempe,AZ,Kolsch,12 oz.,5.20%,N/A,32,44,107,2.87,156
Abominable Ale,Fremont Brewing Company,Seattle,WA,English Strong Ale,12 oz.,8.00%,N/A,95,85,101,3.6,240
Fremont Organic Pale Ale,Fremont Brewing Company,Seattle,WA,American Pale Ale (APA),12 oz.,4.50%,N/A,89,82,29,3.44,135
Fremont Summer Ale,Fremont Brewing Company,Seattle,WA,American Pale Ale (APA),12 oz.,6.50%,45,94,97,78,3.56,156
Harvest Ale,Fremont Brewing Company,Seattle,WA,Saison / Farmhouse Ale,12 oz.,6.50%,35,79,88,44,3.32,195
Interurban IPA,Fremont Brewing Company,Seattle,WA,American IPA,12 oz.,6.50%,80,95,93,168,3.58,186
Universale Pale Ale,Fremont Brewing Company,Seattle,WA,American Pale Ale (APA),12 oz.,5.60%,30,92,95,91,3.5,168
Burning Bush Smoked IPA,Golden Road Brewing,Los Angeles,CA,American IPA,16 oz.,8.00%,70,90,49,42,3.46,240
Cabrillo Kolsch,Golden Road Brewing,Los Angeles,CA,Kolsch,16 oz.,5.00%,N/A,36,49,22,2.91,150
Get Up Offa That Brown,Golden Road Brewing,Los Angeles,CA,American Brown Ale,16 oz.,5.50%,N/A,58,63,63,3.17,150
Golden Road Hefeweizen,Golden Road Brewing,Los Angeles,CA,Hefeweizen,16 oz.,4.60%,N/A,53,86,70,3.14,138
Point the Way IPA,Golden Road Brewing,Los Angeles,CA,American IPA,16 oz.,5.20%,N/A,84,67,173,3.38,177
Wolf Among Weeds IPA,Golden Road Brewing,Los Angeles,CA,American IPA,16 oz.,8.00%,70,95,76,111,3.6,240
Descender IPA,Good Life Brewing Company,Bend,OR,American IPA,12 oz.,7.00%,70,97,97,143,3.68,210
Sweet As Pacific Ale,Good Life Brewing Company,Bend,OR,American Pale Wheat Ale,12 oz.,6.00%,18,83,82,50,3.36,183
Good People American Brown Ale,Good People Brewing Company,Birmingham,AL,American Brown Ale,12 oz.,5.80%,36,67,75,115,3.23,174
Good People IPA,Good People Brewing Company,Birmingham,AL,American IPA,12 oz.,6.00%,64,84,66,146,3.38,180
Good People Pale Ale,Good People Brewing Company,Birmingham,AL,American Pale Ale (APA),12 oz.,5.60%,36,68,59,69,3.24,168
Snake Handler Double IPA,Good People Brewing Company,Birmingham,AL,American Double / Imperial IPA,12 oz.,9.30%,103,96,84,99,3.64,279
312 Urban Wheat Ale,Goose Island Brewing Company,Chicago,IL,American Pale Wheat Ale,12 oz.,4.20%,20,28,43,1481,2.82,126
Black Iron India Pale Ale,Grand Canyon Brewing Company,Williams,AZ,American IPA,12 oz.,7.20%,N/A,51,28,88,3.13,216
Grand Canyon American Pilsner,Grand Canyon Brewing Company,Williams,AZ,American Pisner,12 oz.,5.20%,N/A,36,72,69,2.93,150
Grand Canyon Sunset Amber Ale,Grand Canyon Brewing Company,Williams,AZ,American Amber / Red Ale,12 oz.,5.40%,N/A,41,48,85,2.99,150
White Water Wheat,Grand Canyon Brewing Company,Williams,AZ,American Pale Wheat Ale,12 oz.,5.00%,N/A,11,7,28,2.4,147
Aurora Lager,Great Crescent Brewery,Aurora,IN,Dortmunder / Export Lager,16 oz.,5.70%,27,48,94,10,3.07,171
Bourbon's Barrel Stout,Great Crescent Brewery,Aurora,IN,American Stout,16 oz.,7.50%,65,89,32,40,3.42,240
Cherry Ale,Great Crescent Brewery,Aurora,IN,Fruit / Vegetable Beer,16 oz.,5.70%,18,35,65,15,2.9,171
Great Crescent Belgian Style Wit,Great Crescent Brewery,Aurora,IN,Witbier,16 oz.,5.10%,13,49,65,11,3.07,153
Great Crescent Blonde Ale,Great Crescent Brewery,Aurora,IN,American Blonde Ale,16 oz.,5.30%,22,36,50,15,2.92,159
Great Crescent Coconut Porter,Great Crescent Brewery,Aurora,IN,American Porter,16 oz.,5.60%,33,82,70,44,3.34,165
Great Crescent Dark Lager,Great Crescent Brewery,Aurora,IN,Euro Dark Lager,16 oz.,5.70%,23,33,74,15,2.87,171
Great Crescent India Pale Ale,Great Crescent Brewery,Aurora,IN,American IPA,16 oz.,6.20%,N/A,19,2,21,2.67,186
Black Star Double Hopped Golden Lager,Great Northern Brewing Company,Whitefish,MT,American Pale Lager,12 oz.,4.50%,15,15,94,82,2.58,138
40th Annual Bix Street Fest Copper Ale (Current),Great River Brewery,Davenport,IA,American Amber / Red Ale,16 oz.,4.80%,25,31,33,12,2.83,144
483 Pale Ale,Great River Brewery,Davenport,IA,American Pale Ale (APA),16 oz.,5.30%,48,78,73,95,3.3,162
Aaah Bock Lager,Great River Brewery,Davenport,IA,Vienna Lager,16 oz.,6.00%,N/A,49,68,18,3.11,180
Big Cock IPA,Great River Brewery,Davenport,IA,American IPA,16 oz.,7.00%,70,70,41,34,3.23,210
Farmer Brown Ale,Great River Brewery,Davenport,IA,American Brown Ale,16 oz.,7.00%,22,61,68,64,3.19,186
Hop-A-Potamus Rye PA,Great River Brewery,Davenport,IA,American Double / Imperial IPA,16 oz.,9.00%,99,65,70,36,3.22,270
Oktoberfest,Great River Brewery,Davenport,IA,Marzen / Oktoberfest,16 oz.,5.90%,25,65,92,18,3.19,177
Owney Irish Style Red Ale,Great River Brewery,Davenport,IA,Irish Red Ale,16 oz.,5.00%,30,27,25,9,2.81,150
Redband Stout,Great River Brewery,Davenport,IA,American Stout,16 oz.,6.00%,36,96,96,127,3.6,180
Roller Dam Red Ale,Great River Brewery,Davenport,IA,Irish Red Ale,16 oz.,5.40%,30,33,36,71,2.89,159
Widespread Wit,Great River Brewery,Davenport,IA,Witbier,16 oz.,5.50%,10,49,68,17,3.1,168
Kelso Industrial IPA,Greenpoint Beer Works,Brooklyn,NY,American Double / Imperial IPA,12 oz.,11.50%,N/A,94,70,46,3.56,345
Kelso Nut Brown Lager,Greenpoint Beer Works,Brooklyn,NY,Dunkelweizen,12 oz.,5.70%,N/A,49,84,61,3.11,172
Kelso Pilsner,Greenpoint Beer Works,Brooklyn,NY,American Pilsner,12 oz.,5.50%,N/A,34,54,48,2.9,165
Pablo Beach Pale Ale,Green Room Brewing,Jacksonville,FL,American Pale Ale (APA),12 oz.,5.00%,30,60,49,48,3.19,150
Flagship Ale,Grey Sail Brewing of Rhode Island,Westerly,RI,Cream Ale,12 oz.,4.90%,22,25,39,30,2.77,135
Flying Jenny Extra Pale Ale,Grey Sail Brewing of Rhode Island,Westerly,RI,American Pale Ale (APA),12 oz.,6.00%,54,82,82,55,3.36,159
Leaning Chimney Smoked Porter,Grey Sail Brewing of Rhode Island,Westerly,RI,American Porter,16 oz.,6.00%,34,73,52,26,3.28,180
Akari Shogun American Wheat Ale,Half Acre Beer Company,Chicago,IL,American Pale Wheat Ale,16 oz.,5.50%,N/A,96,100,138,3.62,165
Daisy Cutter Pale Ale,Half Acre Beer Company,Chicago,IL,American Pale Ale (APA),16 oz.,5.20%,N/A,99,100,634,3.8,156
Gossamer Golden Ale,Half Acre Beer Company,Chicago,IL,American Blonde Ale,16 oz.,4.20%,N/A,84,98,145,3.37,126
Meat Wave,Half Acre Beer Company,Chicago,IL,English India Pale Ale (IPA),16 oz.,6.00%,N/A,70,42,41,3.24,180
Over Ale,Half Acre Beer Company,Chicago,IL,American Brown Ale,16 oz.,6.00%,N/A,78,87,164,3.3,186
Senita,Half Acre Beer Company,Chicago,IL,American IPA,16 oz.,7.00%,N/A,98,98,96,3.72,210
Back in the Saddle Rye Pale Ale,Half Moon Bay Brewing Company,Half Moon Bay,CA,American Pale Ale (APA),12 oz.,3.70%,N/A,73,66,19,3.27,112
Hangar 24 Helles Lager,Hangar 24 Craft Brewery,Redlands,CA,Munich Helles Lager,12 oz.,4.30%,14,74,99,51,3.28,129
Orange Wheat,Hangar 24 Craft Brewery,Redlands,CA,Fruit / Vegetable Beer,12 oz.,4.60%,17,64,90,188,3.21,138
Harpoon IPA,Harpoon Brewery,Boston,MA,American IPA,12 oz.,5.90%,42,66,41,1560,3.23,177
Harpoon Summer Beer,Harpoon Brewery,Boston,MA,Kolsch,12 oz.,5.00%,28,31,43,506,2.87,144
UFO White,Harpoon Brewery,Boston,MA,American Pale Wheat Ale,12 oz.,4.80%,10,45,57,325,3.05,144
Beltian White,Harvest Moon Brewing Company,Belt,MT,Witbier,12 oz.,4.80%,N/A,46,59,75,3.05,142
AARGHtoberfest!,Heavy Seas Beer,Halethorpe,MD,Marzen / Oktoberfest,12 oz.,6.00%,30,41,59,23,2.98,180
Davy Jones Lager,Heavy Seas Beer,Halethorpe,MD,Cream Ale,12 oz.,6.00%,N/A,49,84,16,3.09,180
Loose Cannon,Heavy Seas Beer,Halethorpe,MD,American IPA,12 oz.,7.20%,45,97,97,1334,3.69,218
Ex Umbris Rye Imperial Stout,Hess Brewing Company,San Diego,CA,American Double / Imperial Stout,16 oz.,10.00%,85,97,69,42,3.68,306
Annie's Amber Ale,High Noon Saloon And Brewery,Leavenworth,KS,American Amber / Red Ale,12 oz.,5.50%,N/A,17,10,33,2.61,165
Oregon Trail Unfiltered Raspberry Wheat,High Noon Saloon And Brewery,Leavenworth,KS,Fruit / Vegetable Beer,12 oz.,4.50%,N/A,27,52,20,2.82,135
Tonganoxie Honey Wheat,High Noon Saloon And Brewery,Leavenworth,KS,American Pale Wheat Ale,12 oz.,4.40%,22,20,29,16,2.7,134
Hilliard's Amber Ale,Hilliard's Beer,Seattle,WA,American Amber / Red Ale,16 oz.,5.50%,60,36,41,89,2.92,165
Hilliard's Pils,Hilliard's Beer,Seattle,WA,Czech Pilsener,16 oz.,5.50%,34,42,83,10,2.99,177
Hilliard's Saison,Hilliard's Beer,Seattle,WA,Saison / Farmhouse Ale,16 oz.,6.60%,30,69,41,52,3.25,198
Alphadelic IPA,Hop Valley Brewing Company,Springfield,OR,American IPA,12 oz.,6.50%,90,94,92,118,3.56,201
Double D Blonde,Hop Valley Brewing Company,Springfield,OR,American Blonde Ale,12 oz.,4.90%,20,23,26,27,2.75,150
Alteration,Hops & Grain Brewery,Austin,TX,Altbier,12 oz.,5.10%,40,73,87,63,3.27,153
Pale Dog,Hops & Grain Brewery,Austin,TX,American Pale Ale (APA),12 oz.,6.00%,50,69,60,53,3.25,177
The One They Call Zoe,Hops & Grain Brewery,Austin,TX,American Pale Lager,12 oz.,5.10%,N/A,89,100,58,3.44,150
Abominable Winter Ale,Hopworks Urban Brewery,Portland,OR,American Strong Ale,16 oz.,7.30%,70,97,91,186,3.65,219
Hopworks IPA,Hopworks Urban Brewery,Portland,OR,American IPA,16 oz.,6.60%,75,96,95,279,3.63,198
HUB Lager,Hopworks Urban Brewery,Portland,OR,Czech Pilsener,16 oz.,5.10%,32,69,96,106,3.25,150
Rise-Up Red,Hopworks Urban Brewery,Portland,OR,American Amber / Red Ale,16 oz.,5.80%,60,93,99,112,3.54,174
Day Tripper Pale Ale,Indeed Brewing Company,Minneapolis,MN,American Pale Ale (APA),12 oz.,5.40%,45,98,99,190,3.69,162
Midnight Ryder,Indeed Brewing Company,Minneapolis,MN,American Black Ale,12 oz.,6.50%,80,97,94,148,3.68,198
Shenanigans Summer Ale,Indeed Brewing Company,Minneapolis,MN,American Pale Wheat Ale,12 oz.,4.60%,27,46,77,49,3.06,138
I-10 IPA,Intuition Ale Works,Jacksonville,FL,American IPA,12 oz.,6.80%,55,92,87,103,3.51,210
Jon Boat Coastal Ale,Intuition Ale Works,Jacksonville,FL,American Blonde Ale,12 oz.,4.50%,20,43,63,49,3.02,135
People's Pale Ale,Intuition Ale Works,Jacksonville,FL,American Pale Ale (APA),12 oz.,5.30%,28,85,86,92,3.39,165
Chomo-Lung-Ma Organic Honey Nut Brown,Jackie O's Pub & Brewery,Athens,OH,English Brown Ale,12 oz.,6.70%,N/A,92,97,102,3.5,195
Firefly Amber Ale,Jackie O's Pub & Brewery,Athens,OH,American Amber / Red Ale,12 oz.,5.00%,N/A,73,91,84,3.28,150
Mystic Mama IPA,Jackie O's Pub & Brewery,Athens,OH,American IPA,12 oz.,7.00%,N/A,97,96,160,3.65,210
Jack's Hard Cider,Jack's Hard Cider (Hauser Estate...,Biglerville,PA,Cider,12 oz.,5.10%,N/A,35,45,39,2.91,165
Fox Tail Gluten Free Ale,Joseph James Brewing Company,Henderson,NV,American Pale Ale (APA),12 oz.,5.00%,50,12,2,48,2.46,150
Hop Box Imperial IPA,Joseph James Brewing Company,Henderson,NV,American Double / Imperial IPA,12 oz.,9.30%,90,58,13,198,3.17,279
Joseph James American Lager,Joseph James Brewing Company,Henderson,NV,American Adjunct Lager,12 oz.,5.20%,15,18,96,50,2.65,156
Lands End Amber Ale,Kannah Creek Brewing Company,Grand Junction,CO,American Amber / Red Ale,12 oz.,5.70%,28,48,67,25,3.09,165
Standing Wave Pale Ale,Kannah Creek Brewing Company,Grand Junction,CO,American Pale Ale (APA),12 oz.,5.50%,50,75,71,39,3.29,165
Barn Burner Saison,Karbach Brewing Company,Houston,TX,Saison / Farmhouse Ale,12 oz.,6.60%,20,84,62,43,3.37,198
Hopadillo India Pale Ale,Karbach Brewing Company,Houston,TX,American IPA,12 oz.,6.60%,70,92,86,141,3.49,198
Rodeo Clown Double IPA,Karbach Brewing Company,Houston,TX,American Double / Imperial IPA,12 oz.,9.50%,85,93,64,99,3.54,285
Sympathy for the Lager,Karbach Brewing Company,Houston,TX,American Amber / Red Lager,12 oz.,4.90%,45,68,98,58,3.24,147
Weisse Versa,Karbach Brewing Company,Houston,TX,Hefeweizen,12 oz.,5.20%,15,82,96,92,3.36,156
Skilak Scottish Ale,Kenai River Brewing Company,Soldotna,AK,Scottish Ale,12 oz.,5.80%,26,85,93,18,3.38,159
Sunken Island IPA,Kenai River Brewing Company,Soldotna,AK,American IPA,12 oz.,6.80%,62,66,40,20,3.22,204
Cold Smoke Scotch Ale,Kettle House Brewing Company,Missoula,MT,Scotch Ale / Wee Heavy,16 oz.,6.50%,11,86,70,144,3.4,195
Double Haul IPA,Kettle House Brewing Company,Missoula,MT,American IPA,16 oz.,6.50%,65,76,48,109,3.29,198
Eddy Out Pale Ale,Kettle House Brewing Company,Missoula,MT,American Pale Ale (APA),16 oz.,5.50%,50,67,52,29,3.22,165
Lift Bridge Brown Ale,Keweenaw Brewing Company,Houghton,MI,American Brown Ale,12 oz.,5.00%,N/A,36,30,61,2.92,150
November Gale Pale Ale,Keweenaw Brewing Company,Houghton,MI,American Pale Ale (APA),12 oz.,???,N/A,44,30,24,3.03,N/A
Olde Ore Dock Scottish Ale,Keweenaw Brewing Company,Houghton,MI,Scottish Ale,12 oz.,???,N/A,27,13,28,2.82,N/A
Pick Axe Blonde Ale,Keweenaw Brewing Company,Houghton,MI,American Blonde Ale,12 oz.,4.70%,N/A,16,13,77,2.61,141
Red Jacket Amber Ale,Keweenaw Brewing Company,Houghton,MI,American Amber / Red Ale,12 oz.,5.10%,N/A,34,44,62,2.9,153
Widow Maker Black Ale,Keweenaw Brewing Company,Houghton,MI,American Brown Ale,12 oz.,5.20%,N/A,36,34,113,2.93,156
Longboard Island Lager,Kona Brewing Company,Kona,HI,American Amber / Red Lager,12 oz.,4.60%,18,22,97,1218,2.75,138
Elevated IPA,La Cumbre Brewing Company,Albuquerque,NM,American IPA,16 oz.,7.20%,100,100,100,255,4.02,216
Lancaster German Style Kolsch,Lancaster Brewing Company,Lancaster,PA,Kolsch,12 oz.,4.80%,28,45,74,72,3.04,144
Rumspringa Golden Bock,Lancaster Brewing Company,Lancaster,PA,Maibock / Helles Bock,12 oz.,6.60%,30,48,66,55,3.08,198
Sip of Sunshine IPA,Lawson's Finest Liquids,Warren,VT,American Double / Imperial IPA,16 oz.,8.00%,N/A,100,100,142,4.06,240
Back Country Scottish Ale,Lewis and Clark Brewing Company,Helena,MT,Scottish Ale,12 oz.,5.70%,N/A,40,33,34,2.96,171
Lewis & Clark Amber Ale,Lewis and Clark Brewing Company,Helena,MT,American Amber / Red Ale,12 oz.,5.00%,N/A,30,33,14,2.83,168
Miner's Gold Hefeweizen,Lewis and Clark Brewing Company,Helena,MT,Hefeweizen,12 oz.,5.00%,N/A,30,46,17,2.85,156
Tumbleweed IPA,Lewis and Clark Brewing Company,Helena,MT,American IPA,12 oz.,5.70%,N/A,83,64,33,3.37,198
Yellowstone Golden Ale,Lewis and Clark Brewing Company,Helena,MT,Kolsch,12 oz.,5.10%,N/A,32,44,13,2.86,153
Farm Girl Saison,Lift Bridge Brewing Company,Stillwater,MN,Saison / Farmhouse Ale,16 oz.,6.00%,30,75,47,121,3.29,180
Blackbeary Wheat,Long Trail Brewing Company,Bridgewater Corners,VT,Fruit / Vegetable Beer,12 oz.,4.00%,8,13,39,370,2.49,120
Double Bag,Long Trail Brewing Company,Bridgewater Corners,VT,Altbier,16 oz.,7.20%,33,91,98,622,3.48,216
Long Trail Ale,Long Trail Brewing Company,Bridgewater Corners,VT,Altbier,12 oz.,4.60%,30,46,47,479,3.06,138
Ride Again Pale Ale,Lucette Brewing Company,Menominie,WI,American Pale Ale (APA),16 oz.,5.20%,33,93,96,46,3.53,156
The Farmer's Daughter,Lucette Brewing Company,Menominie,WI,American Blonde Ale,16 oz.,4.80%,15,40,45,35,2.97,144
Knotty Pine ,Lumberyard Brewing Company,Flagstaff,AZ,American Pale Ale (APA),12 oz.,5.40%,N/A,82,81,21,3.35,162
Lumberyard IPA,Lumberyard Brewing Company,Flagstaff,AZ,American IPA,12 oz.,6.10%,N/A,85,68,31,3.39,183
Lumberyard Red Ale,Lumberyard Brewing Company,Flagstaff,AZ,American Amber / Red Ale,12 oz.,5.80%,N/A,73,91,70,3.27,174
Mac's Highlander Pale Ale (2000),MacTarnahans Brewing Company,Portland,OR,American Pale Ale (APA),12 oz.,5.00%,N/A,50,40,118,3.04,153
Mac's Scottish Style Amber Ale (2000),MacTarnahans Brewing Company,Portland,OR,American Amber / Red Ale,12 oz.,5.10%,32,54,78,399,3.15,153
Gnarly Brown,Madtree Brewing Company,Cincinnati,OH,American Brown Ale,12 oz.,7.00%,N/A,89,95,56,3.44,210
Happy Amber,Madtree Brewing Company,Cincinnati,OH,American Amber / Red Ale,12 oz.,6.00%,N/A,78,93,42,3.32,180
Pschopathy,Madtree Brewing Company,Cincinnati,OH,American IPA,12 oz.,6.90%,N/A,87,75,75,3.42,207
#9,Magic Hat Brewing Company,South Burlington,VT,Fruit / Vegetable Beer,12 oz.,5.10%,20,43,77,2171,3.02,153
Elder Betty,Magic Hat Brewing Company,South Burlington,VT,Hefeweizen,12 oz.,5.50%,13,39,59,339,2.96,165
Epic IPA,Mammoth Brewing Company,Mammoth Lakes,CA,American IPA,12 oz.,6.50%,N/A,87,73,144,3.41,195
High Country Pilsner (Current),Mammoth Brewing Company,Mammoth Lakes,CA,German Pilsener,12 oz.,4.20%,N/A,36,72,63,2.93,126
